city,station,Latitude1,Longitude1,Elevation [m],Archive Begins,IEM Network,population,rank
London,EGSS,51.88124,0.2232,106,31/12/1972 18:00,GB__ASOS,8907918,1
Birmingham,EGBB,52.46021,-1.75764,99,31/12/1972 18:00,GB__ASOS,1153717,2
Glasgow,EGPF,55.87194,-4.43306,8,31/12/1972 18:00,GB__ASOS,612040,3
Liverpool,EGGP,53.33333,-2.85,26,24/04/1990 08:50,GB__ASOS,579256,4
Bristol,EGGD,51.38267,-2.71909,189,05/01/1988 08:50,GB__ASOS,571922,5
Manchester,EGCC,53.35374,-2.27495,78,31/12/1972 18:00,GB__ASOS,554400,6
Leeds,EGNM,53.86181,-1.6653,208,05/01/1988 05:50,GB__ASOS,503388,8
Edinburgh,EGPH,55.95,-3.35,41,31/12/1972 18:00,GB__ASOS,488050,9
Cardiff,EGFF,51.39667,-3.34333,67,31/12/1972 18:00,GB__ASOS,350558,13
Belfast,EGAC,54.61346,-5.8735,5,01/01/1973 03:00,GB__ASOS,328937,14
